longitude,latitude,zone
7.7686,45.36343304,E
7.48443104,44.91688598,E
7.30434392,45.31511014,F
7.94914491,45.43389336,E
7.77701858,45.4600936,F
7.39518194,45.11766321,E
7.57859732,45.40998223,F
7.52426733,45.09446973,E
7.86994864,45.03586095,E
7.87383937,45.52837479,F
7.22429215,44.84344991,F
7.90244635,45.04402899,E
7.39632339,45.07935742,E
7.9947707,45.4248619,E
7.75691809,45.38624929,E
7.51930957,45.27003001,F
7.74444451,45.40840358,E
7.81780767,45.06842334,E
7.21831414,45.30229406,F
7.85656384,45.4608501,E
7.63051093,45.2905002,E
6.70382393,45.07816901,F
7.87055626,45.32772558,E
7.57915804,45.02207899,E
7.28978596,44.79758015,E
7.11790449,44.80770617,F
7.94534881,45.4733572,E
7.65789441,45.15198241,E
7.66773369,45.4168132,F
7.85852209,45.51300686,E
7.98879962,45.36155134,E
7.24121397,45.12313936,E
7.76506984,45.26856393,E
7.84147562,45.17765247,E
7.30288754,44.82558164,E
7.80333443,45.49276005,F
8.07127843,45.1174193,E
7.46769111,45.0202325,E
8.06009417,45.15595512,E
7.19397692,45.14312487,F
7.41192286,44.87335846,E
7.93205672,45.48411969,E
7.6557437,45.32883648,E
7.14931876,45.13727952,F
7.43678073,45.06701514,E
7.51812356,45.24471151,F
7.89150532,45.30786205,E
7.77932471,44.9734596,E
7.8866125,45.32816809,E
7.60121104,44.96026547,E
7.59521831,45.37434585,F
7.33260383,44.94030975,E
7.38167977,45.34323553,F
7.33250655,45.11786515,E
7.9602136,45.39860532,E
7.81230448,45.58444747,E
7.67534298,44.90666664,E
7.71815745,44.84654865,E
7.94044052,45.1299627,E
7.90469845,45.47845422,E
7.48320717,45.10588105,E
7.64818634,45.17716554,E
7.88698844,45.16060833,F
7.56655619,44.8986196,E
7.70986533,45.3833354,E
7.69511431,45.43732305,F
7.8160937,45.12330917,E
8.05131021,45.15207451,E
7.37523198,44.78403126,E
7.50125803,44.86126074,E
7.38934335,45.31307899,F
7.23254114,45.43261794,F
6.79422776,44.95241086,F
7.34570078,45.36285948,F
7.16939346,45.1485858,F
7.90312753,45.49939701,E
7.82107157,45.01315317,E
7.65605931,45.41780821,F
6.98338614,45.11938583,F
7.3264449,45.10154711,E
7.8871395,45.18855522,E
7.75987216,45.33032199,E
7.68662115,45.42805026,F
7.92112148,45.09389859,F
7.60378213,45.23202337,E
6.7493063,44.93861812,F
7.46132937,45.30071349,F
7.29464354,45.05141806,F
7.56912947,45.07740152,E
7.67898169,45.42140642,F
7.79996443,45.43288813,E
7.31072991,45.11714338,E
7.53256155,45.31274311,F
7.99337324,45.38833099,E
7.81484395,45.35892893,E
7.37437677,44.98279566,E
7.64891501,45.39122707,E
7.57620424,45.13473277,E
6.9296242,45.09749088,F
7.68801437,45.33284709,E
7.747108,45.30549111,E
7.05188671,45.03429618,F
7.51978357,45.21812133,E
7.82897738,45.46756986,E
7.82317874,45.27201738,E
7.58678049,45.34683712,F
7.60567906,45.43603247,F
7.66559657,45.2795507,E
7.35077043,44.93362239,E
7.37473116,44.83677569,E
7.8248966,45.1274528,E
7.46686447,45.26218096,F
7.01413849,45.13968801,F
7.35308652,45.04475307,F
7.49677295,45.15877935,E
7.02107286,45.1239184,F
7.28229522,45.36895345,F
7.55663354,45.25636722,E
7.57780057,45.06211095,E
7.57086278,45.46629106,F
7.21596397,44.94722972,F
7.90926775,44.90664468,E
7.75416284,45.44680942,E
7.87596694,45.46618879,E
7.51913001,45.18182357,E
7.66770716,44.9566781,E
7.4766156,45.27231992,F
7.99166951,45.15845502,E
7.71510758,45.18393696,E
7.29288179,45.2285566,F
7.81421978,45.47615621,E
7.60590068,45.31810409,E
7.46126241,45.41699254,F
7.73626699,45.23570752,E
7.6357787,44.84160233,E
7.8108711,45.44223125,E
7.7806447,45.44465477,F
7.24579065,44.81432177,F
7.25023582,44.8023662,F
7.76646663,45.31856534,E
7.40079259,44.85117887,E
8.01174454,45.34770337,E
7.87332971,45.05800482,E
7.05631276,44.95856162,F
7.54132093,45.25664137,F
7.11215191,45.1187052,F
7.93700162,45.29853622,E
7.06814068,45.12073332,F
7.88256683,45.35697859,E
7.7789622,45.49006995,F
7.39502001,45.29240402,F
7.9195483,45.0464001,E
7.0579733,45.13990657,F
7.43913232,45.30142445,F
7.68524785,45.00092557,E
6.98356095,45.20528865,F
7.85089356,45.06636449,E
7.83985641,45.33772294,E
7.86379472,45.49362402,E
7.85282569,45.23289425,E
8.01478453,45.15054215,E
7.94405562,45.03906243,E
7.64737268,44.99519052,E
7.31354369,45.45305086,F
7.57012122,45.24523673,E
7.85971537,45.53518242,F
7.54123958,44.93231301,E
7.01466579,45.18763602,F
7.69274392,45.34256696,E
7.53695676,45.00703303,E
7.86029968,45.32848958,E
7.34316619,44.84947467,E
7.60752807,44.86946279,E
6.83221872,45.03127204,F
7.74313424,45.34901489,E
7.9780495,45.45747804,E
7.58816166,44.83047398,E
7.7910275,45.42998528,E
7.83475798,45.06892615,E
7.85397607,45.4352612,E
7.77647961,45.45206809,F
7.74869987,45.01955866,E
7.19237022,44.95809915,F
7.82925599,45.39715691,E
7.11526705,44.93745704,F
7.63872415,45.35339905,E
7.40284722,45.29054324,F
7.54635756,45.10062332,E
7.22767284,44.94266195,F
7.33200099,44.88733486,E
7.77216514,45.0435201,F
7.61193106,44.93305708,E
7.46275512,44.99070006,E
7.42589738,44.9194642,E
8.00710274,45.44754377,E
7.84361932,44.92119885,E
7.18220303,44.95506624,F
7.2679851,44.88756523,E
6.94229337,45.0162756,F
7.04904363,44.89040764,F
7.90066311,44.86135787,E
7.21169848,44.90458825,F
7.2697214,44.86584045,F
7.61570863,45.36765655,F
7.59609066,45.35364806,F
7.78183655,45.42649496,E
7.83247599,45.52493469,E
7.80576899,45.56081088,E
7.42955396,45.05170702,F
